CRM Record ID,Account Name,Company Website,Primary Contact Email,Location,Deal Result,Loss Reason,Close Date,Sales Motion,Customer Base,Operating Footprint,Employee Count,Recent Funding,Warehouse Network,Legal Status,Deal Stage,Win Probability,Forecast Category,Final Sales Notes
D-016,Regional Supply Company 16,regional-supplier-16.example,sales16@regional-supplier-16.example,"Dallas, TX",Won,,2021-02-15,Territory sales,Local business network,Regional branch network,2100,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-017,Regional Supply Company 17," HTTPS://WWW.REGIONAL-SUPPLIER-17.EXAMPLE:443/catalog ",sales17@regional-supplier-17.example,"Denver, CO",Lost,No territory fit,2021-03-15,Inside sales,Enterprise accounts,Single-site operation,627,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-018,Regional Supply Company 18,http://regional-supplier-18.example/about,sales18@regional-supplier-18.example,"Tulsa, OK",Lost,Limited operating footprint,2021-04-15,Territory sales,Consumer mass market,Local storefront,664,false,false,Inactive,Closed Lost,0,Omitted,Synthetic opportunity closed
D-019,Regional Supply Company 19,www.regional-supplier-19.example,sales19@regional-supplier-19.example,"Phoenix, AZ",Won,,2021-05-15,Inside sales,Fragmented SMB,Single-site operation,701,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-020,Regional Supply Company 20,regional-supplier-20.example,sales20@regional-supplier-20.example,"Columbus, OH",Won,,2021-06-15,Territory sales,Local business network,Local storefront,738,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-021,Regional Supply Company 21," HTTPS://WWW.REGIONAL-SUPPLIER-21.EXAMPLE:443/catalog ",sales21@regional-supplier-21.example,"Dallas, TX",Lost,No territory fit,2021-07-15,Inside sales,Enterprise accounts,Multi-site operations,1200,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-022,Regional Supply Company 22,http://regional-supplier-22.example/about,sales22@regional-supplier-22.example,"Denver, CO",Won,,2021-08-15,Territory sales,Consumer mass market,Regional branch network,52,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-023,Regional Supply Company 23,,owner23@gmail.com,"Tulsa, OK",Won,,2021-09-15,Inside sales,Fragmented SMB,Territory service network,89,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-024,Regional Supply Company 24,regional-supplier-24.example,sales24@regional-supplier-24.example,"Phoenix, AZ",Won,,2021-10-15,Territory sales,Local business network,Multi-site operations,126,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-025,Regional Supply Company 25," HTTPS://WWW.REGIONAL-SUPPLIER-25.EXAMPLE:443/catalog ",sales25@regional-supplier-25.example,"Columbus, OH",Lost,No territory fit,2021-11-15,Inside sales,Enterprise accounts,Single-site operation,163,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-026,Regional Supply Company 26,http://regional-supplier-26.example/about,sales26@regional-supplier-26.example,"Dallas, TX",Lost,Limited operating footprint,2021-12-15,Territory sales,Consumer mass market,Local storefront,1500,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-027,Regional Supply Company 27,www.regional-supplier-27.example,buyer27@gmail.com,"Denver, CO",Lost,No territory fit,2022-01-15,Inside sales,Fragmented SMB,Single-site operation,237,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-028,Regional Supply Company 28,regional-supplier-28.example,sales28@regional-supplier-28.example,"Tulsa, OK",Won,,2022-02-15,Territory sales,Local business network,Local storefront,274,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-029,Regional Supply Company 29," HTTPS://WWW.REGIONAL-SUPPLIER-29.EXAMPLE:443/catalog ",sales29@regional-supplier-29.example,"Phoenix, AZ",Lost,No territory fit,2022-03-15,Inside sales,Enterprise accounts,Territory service network,311,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-030,Regional Supply Company 30,http://regional-supplier-30.example/about,sales30@regional-supplier-30.example,"Columbus, OH",Won,,2022-04-15,Territory sales,Consumer mass market,Multi-site operations,348,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-031,Regional Supply Company 31,www.regional-supplier-31.example,sales31@regional-supplier-31.example,"Dallas, TX",Lost,No territory fit,2022-05-15,Inside sales,Fragmented SMB,Regional branch network,1800,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-032,Regional Supply Company 32,regional-supplier-32.example,sales32@regional-supplier-32.example,"Denver, CO",Won,,2022-06-15,Territory sales,Local business network,Territory service network,422,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-033,Regional Supply Company 33," HTTPS://WWW.REGIONAL-SUPPLIER-33.EXAMPLE:443/catalog ",sales33@regional-supplier-33.example,"Tulsa, OK",Lost,No territory fit,2022-07-15,Inside sales,Enterprise accounts,Single-site operation,459,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-034,Regional Supply Company 34,,owner34@gmail.com,"Phoenix, AZ",Lost,Limited operating footprint,2022-08-15,Territory sales,Consumer mass market,Local storefront,496,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-035,Regional Supply Company 35,www.regional-supplier-35.example,sales35@regional-supplier-35.example,"Columbus, OH",Won,,2022-09-15,Inside sales,Fragmented SMB,Single-site operation,533,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-036,Regional Supply Company 36,regional-supplier-36.example,sales36@regional-supplier-36.example,"Dallas, TX",Lost,Limited operating footprint,2022-10-15,Territory sales,Local business network,Local storefront,2100,false,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-037,Regional Supply Company 37," HTTPS://WWW.REGIONAL-SUPPLIER-37.EXAMPLE:443/catalog ",sales37@regional-supplier-37.example,"Denver, CO",Lost,No territory fit,2022-11-15,Inside sales,Enterprise accounts,Regional branch network,607,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-038,Regional Supply Company 38,http://regional-supplier-38.example/about,sales38@regional-supplier-38.example,"Tulsa, OK",Won,,2022-12-15,Territory sales,Consumer mass market,Territory service network,644,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-039,Regional Supply Company 39,www.regional-supplier-39.example,sales39@regional-supplier-39.example,"Phoenix, AZ",Won,,2023-01-15,Inside sales,Fragmented SMB,Multi-site operations,681,true,false,Active,Closed Won,100,Commit,Synthetic order completed
D-040,Regional Supply Company 40,regional-supplier-40.example,buyer40@gmail.com,"Columbus, OH",Won,,2023-02-15,Territory sales,Local business network,Regional branch network,718,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-041,Regional Supply Company 41," HTTPS://WWW.REGIONAL-SUPPLIER-41.EXAMPLE:443/catalog ",sales41@regional-supplier-41.example,"Dallas, TX",Lost,No territory fit,2023-03-15,Inside sales,Enterprise accounts,Single-site operation,1200,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-042,Regional Supply Company 42,http://regional-supplier-42.example/about,sales42@regional-supplier-42.example,"Denver, CO",Lost,Limited operating footprint,2023-04-15,Territory sales,Consumer mass market,Local storefront,792,false,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-043,Regional Supply Company 43,www.regional-supplier-43.example,sales43@regional-supplier-43.example,"Tulsa, OK",Lost,No territory fit,2023-05-15,Inside sales,Fragmented SMB,Single-site operation,69,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-044,Regional Supply Company 44,regional-supplier-44.example,sales44@regional-supplier-44.example,"Phoenix, AZ",Won,,2023-06-15,Territory sales,Local business network,Local storefront,106,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-045,Regional Supply Company 45,,owner45@gmail.com,"Columbus, OH",Lost,No territory fit,2023-07-15,Inside sales,Enterprise accounts,Multi-site operations,143,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-046,Regional Supply Company 46,http://regional-supplier-46.example/about,sales46@regional-supplier-46.example,"Dallas, TX",Lost,Limited operating footprint,2023-08-15,Territory sales,Consumer mass market,Regional branch network,1500,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-047,Regional Supply Company 47,www.regional-supplier-47.example,sales47@regional-supplier-47.example,"Denver, CO",Won,,2023-09-15,Inside sales,Fragmented SMB,Territory service network,217,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-048,Regional Supply Company 48,regional-supplier-48.example,sales48@regional-supplier-48.example,"Tulsa, OK",Won,,2023-10-15,Territory sales,Local business network,Multi-site operations,254,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-049,Regional Supply Company 49," HTTPS://WWW.REGIONAL-SUPPLIER-49.EXAMPLE:443/catalog ",sales49@regional-supplier-49.example,"Phoenix, AZ",Lost,No territory fit,2023-11-15,Inside sales,Enterprise accounts,Single-site operation,291,,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-050,Regional Supply Company 50,http://regional-supplier-50.example/about,sales50@regional-supplier-50.example,"Columbus, OH",Won,,2023-12-15,Territory sales,Consumer mass market,Local storefront,328,,false,Active,Closed Won,100,Commit,Synthetic order completed
D-051,Regional Supply Company 51,www.regional-supplier-51.example,sales51@regional-supplier-51.example,"Dallas, TX",Lost,No territory fit,2024-01-15,Inside sales,Fragmented SMB,Single-site operation,1800,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-052,Regional Supply Company 52,regional-supplier-52.example,sales52@regional-supplier-52.example,"Denver, CO",Won,,2024-02-15,Territory sales,Local business network,Local storefront,402,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-053,Regional Supply Company 53," HTTPS://WWW.REGIONAL-SUPPLIER-53.EXAMPLE:443/catalog ",buyer53@gmail.com,"Tulsa, OK",Won,,2024-03-15,Inside sales,Enterprise accounts,Territory service network,439,true,false,Active,Closed Won,100,Commit,Synthetic order completed
D-054,Regional Supply Company 54,http://regional-supplier-54.example/about,sales54@regional-supplier-54.example,"Phoenix, AZ",Won,,2024-04-15,Territory sales,Consumer mass market,Multi-site operations,476,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-055,Regional Supply Company 55,www.regional-supplier-55.example,sales55@regional-supplier-55.example,"Columbus, OH",Won,,2024-05-15,Inside sales,Fragmented SMB,Regional branch network,513,true,false,Active,Closed Won,100,Commit,Synthetic order completed
D-056,Regional Supply Company 56,,owner56@gmail.com,"Dallas, TX",Won,,2024-06-15,Territory sales,Local business network,Territory service network,2100,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-057,Regional Supply Company 57," HTTPS://WWW.REGIONAL-SUPPLIER-57.EXAMPLE:443/catalog ",sales57@regional-supplier-57.example,"Denver, CO",Lost,No territory fit,2024-07-15,Inside sales,Enterprise accounts,Single-site operation,587,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-058,Regional Supply Company 58,http://regional-supplier-58.example/about,sales58@regional-supplier-58.example,"Tulsa, OK",Won,,2024-08-15,Territory sales,Consumer mass market,Local storefront,624,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-059,Regional Supply Company 59,www.regional-supplier-59.example,sales59@regional-supplier-59.example,"Phoenix, AZ",Lost,No territory fit,2024-09-15,Inside sales,Fragmented SMB,Single-site operation,661,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-060,Regional Supply Company 60,regional-supplier-60.example,sales60@regional-supplier-60.example,"Columbus, OH",Won,,2024-10-15,Territory sales,Local business network,Local storefront,698,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-061,Regional Supply Company 61," HTTPS://WWW.REGIONAL-SUPPLIER-61.EXAMPLE:443/catalog ",sales61@regional-supplier-61.example,"Dallas, TX",Lost,No territory fit,2024-11-15,Inside sales,Enterprise accounts,Regional branch network,1200,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-062,Regional Supply Company 62,http://regional-supplier-62.example/about,sales62@regional-supplier-62.example,"Denver, CO",Won,,2024-12-15,Territory sales,Consumer mass market,Territory service network,772,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-063,Regional Supply Company 63,www.regional-supplier-63.example,sales63@regional-supplier-63.example,"Tulsa, OK",Won,,2025-01-15,Inside sales,Fragmented SMB,Multi-site operations,49,true,false,Active,Closed Won,100,Commit,Synthetic order completed
D-064,Regional Supply Company 64,regional-supplier-64.example,sales64@regional-supplier-64.example,"Phoenix, AZ",Won,,2025-02-15,Territory sales,Local business network,Regional branch network,86,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-065,Regional Supply Company 65," HTTPS://WWW.REGIONAL-SUPPLIER-65.EXAMPLE:443/catalog ",sales65@regional-supplier-65.example,"Columbus, OH",Lost,No territory fit,2025-03-15,Inside sales,Enterprise accounts,Single-site operation,123,true,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-066,Regional Supply Company 66,http://regional-supplier-66.example/about,buyer66@gmail.com,"Dallas, TX",Lost,Limited operating footprint,2025-04-15,Territory sales,Consumer mass market,Local storefront,1500,false,false,Active,Closed Lost,0,Omitted,Synthetic opportunity closed
D-067,Regional Supply Company 67,,owner67@gmail.com,"Denver, CO",Won,,2025-05-15,Inside sales,Fragmented SMB,Single-site operation,197,true,false,Active,Closed Won,100,Commit,Synthetic order completed
D-068,Regional Supply Company 68,regional-supplier-68.example,sales68@regional-supplier-68.example,"Tulsa, OK",Won,,2025-06-15,Territory sales,Local business network,Local storefront,234,false,false,Active,Closed Won,100,Commit,Synthetic order completed
D-069,Regional Supply Company 69," HTTPS://WWW.REGIONAL-SUPPLIER-69.EXAMPLE:443/catalog ",sales69@regional-supplier-69.example,"Phoenix, AZ",Lost,No territory fit,2025-07-15,Inside sales,Enterprise accounts,Multi-site operations,271,true,false,Inactive,Closed Lost,0,Omitted,Synthetic opportunity closed
D-070,Regional Supply Company 70,http://regional-supplier-70.example/about,sales70@regional-supplier-70.example,"Columbus, OH",Won,,2025-08-15,Territory sales,Consumer mass market,Regional branch network,308,false,false,Active,Closed Won,100,Commit,Synthetic order completed
